label,total_cost_M,investment_cost_M,worst_operating_cost_M,C_depot_0,C_depot_1,C_depot_total,q_mode_0,q_mode_1,q_mode_2,q_mode_total,worst_scenario_id,num_worst_events,solve_time_s,num_scenarios,lp_status,seed,sample_size,wall_time_s
seed_0,3551.5985,39.456,3512.1425,600.0,100.0,700.0,300.0,300.0,230.0,830.0,108,2,7.36004376411438,500,optimal,0,500,7.431318044662476
seed_1,3550.036570929354,39.11397053267851,3510.9226003966755,600.0,100.0,700.0,306.5640347563279,310.6157914620326,175.0,792.1798262183604,22,2,6.035620927810669,500,optimal,1,500,6.102148056030273
seed_2,3550.326216269841,39.348095238095354,3510.978121031746,600.0,100.0,700.0,300.0,305.02645502648585,212.5,817.5264550264858,98,2,6.82573390007019,500,optimal,2,500,6.8960511684417725
seed_3,3551.5402,39.456,3512.0842,600.0,100.0,700.0,300.0,300.0,230.0,830.0,22,2,7.46685004234314,500,optimal,3,500,7.535595893859863
seed_4,3551.8472944162436,39.932771573604064,3511.9145228426396,600.0,100.0,700.0,498.6548223350254,300.0,230.0,1028.6548223350255,129,2,6.523430824279785,500,optimal,4,500,6.59393310546875
seed_5,3552.4373584202135,39.15726759339705,3513.280090826817,600.0,100.0,700.0,318.9436721691252,181.05632783087512,241.66666666666666,741.666666666667,101,2,5.719583988189697,500,optimal,5,500,5.789089918136597
seed_6,3551.6095,39.456,3512.1535,600.0,100.0,700.0,300.0,300.0,230.0,830.0,14,2,5.981734037399292,500,optimal,6,500,6.0535290241241455
seed_7,3552.148625732653,39.11179239931933,3513.0368333333336,600.0,100.0,700.0,358.3333333333333,142.1645553664809,241.66666666666666,742.1645553664808,21,2,5.572981119155884,500,optimal,7,500,5.641952991485596
seed_8,3551.3983909852727,39.86988787056628,3511.5285031147064,600.0,100.0,700.0,300.0,450.0,212.48442646753892,962.4844264675389,66,2,6.6309099197387695,500,optimal,8,500,6.6997230052948
seed_9,3551.681794224466,40.52991679773325,3511.151877426733,600.0,100.0,700.0,500.0,500.0,212.48844412961785,1212.4884441296178,87,2,5.986751079559326,500,optimal,9,500,6.055903196334839
