scenario_id,events,operating_cost,operating_cost_M,unmet_tons,status,solve_time_s
0,[],3507034000.0,3507.034,300.0,optimal,0.0021588802337646484
1,"[[0, 0, 2]]",3507034000.0,3507.034,300.0,optimal,0.0017349720001220703
2,"[[0, 0, 3]]",3507087236.2609143,3507.0872362609143,300.0,optimal,0.0016856193542480469
3,"[[0, 0, 4]]",3507160708.7827425,3507.1607087827424,300.0,optimal,0.0016658306121826172
4,"[[0, 0, 5]]",3507286494.607088,3507.286494607088,300.0,optimal,0.0017058849334716797
5,"[[0, 0, 6]]",3507779384.180791,3507.779384180791,300.0,optimal,0.0016951560974121094
6,"[[0, 1, 2]]",3507049000.0,3507.049,300.0,optimal,0.0016529560089111328
7,"[[0, 1, 3]]",3507106500.0,3507.1065,300.0,optimal,0.0016698837280273438
8,"[[0, 1, 4]]",3507187535.6959424,3507.187535695942,300.0,optimal,0.0017199516296386719
9,"[[0, 1, 5]]",3507264480.739599,3507.264480739599,300.0,optimal,0.0017430782318115234
10,"[[0, 1, 6]]",3507347879.0446844,3507.3478790446843,300.0,optimal,0.0017442703247070312
11,"[[0, 2, 2]]",3507066500.0,3507.0665,300.0,optimal,0.001672983169555664
12,"[[0, 2, 3]]",3507130354.3913713,3507.1303543913714,300.0,optimal,0.001682281494140625
13,"[[0, 2, 4]]",3507200826.9132,3507.2008269131998,300.0,optimal,0.0017888545989990234
14,"[[0, 2, 5]]",3507278480.739599,3507.278480739599,300.0,optimal,0.0017971992492675781
15,"[[0, 2, 6]]",3507392332.306112,3507.3923323061117,300.0,optimal,0.0018620491027832031
16,"[[0, 3, 2]]",3507086500.0,3507.0865,300.0,optimal,0.0016951560974121094
17,"[[0, 3, 3]]",3507149000.0,3507.149,300.0,optimal,0.0016720294952392578
18,"[[0, 3, 4]]",3507220236.2609143,3507.220236260914,300.0,optimal,0.0017888545989990234
19,"[[0, 3, 5]]",3507314725.2182846,3507.314725218285,300.0,optimal,0.0018470287322998047
20,"[[0, 3, 6]]",3507398851.5665126,3507.398851566513,300.0,optimal,0.001889944076538086
21,"[[0, 4, 2]]",3507102500.0,3507.1025,300.0,optimal,0.001714944839477539
22,"[[0, 4, 3]]",3507167000.0,3507.167,300.0,optimal,0.0017170906066894531
23,"[[0, 4, 4]]",3507247063.174114,3507.2470631741144,300.0,optimal,0.0018389225006103516
24,"[[0, 4, 5]]",3507323725.2182846,3507.3237252182844,300.0,optimal,0.0018339157104492188
25,"[[0, 4, 6]]",3507408851.5665126,3507.4088515665126,300.0,optimal,0.0019137859344482422
