scenario_id,events,operating_cost,operating_cost_M,unmet_tons,status,solve_time_s
0,[],3506997784.8739495,3506.9977848739495,300.0,optimal,0.001756906509399414
1,"[[0, 0, 2]]",3506997784.8739495,3506.9977848739495,300.0,optimal,0.0015730857849121094
2,"[[0, 0, 3]]",3507037784.8739495,3507.0377848739495,300.0,optimal,0.0015330314636230469
3,"[[0, 0, 4]]",3507103462.184874,3507.103462184874,300.0,optimal,0.001538991928100586
4,"[[0, 0, 5]]",3507194154.0616245,3507.1941540616244,300.0,optimal,0.0015380382537841797
5,"[[0, 0, 6]]",3507254154.0616245,3507.2541540616244,300.0,optimal,0.0015358924865722656
6,"[[0, 1, 2]]",3507007784.8739495,3507.0077848739497,300.0,optimal,0.0015408992767333984
7,"[[0, 1, 3]]",3507045431.6526613,3507.045431652661,300.0,optimal,0.0015401840209960938
8,"[[0, 1, 4]]",3507131754.341737,3507.1317543417367,300.0,optimal,0.0015878677368164062
9,"[[0, 1, 5]]",3507191754.341737,3507.1917543417367,300.0,optimal,0.001611948013305664
10,"[[0, 1, 6]]",3507266431.6526613,3507.266431652661,300.0,optimal,0.0016090869903564453
11,"[[0, 2, 2]]",3507020754.341737,3507.020754341737,300.0,optimal,0.0015528202056884766
12,"[[0, 2, 3]]",3507078385.1540613,3507.0783851540614,300.0,optimal,0.0015587806701660156
13,"[[0, 2, 4]]",3507137015.966387,3507.1370159663866,300.0,optimal,0.0016739368438720703
14,"[[0, 2, 5]]",3507211693.277311,3507.211693277311,300.0,optimal,0.0016601085662841797
15,"[[0, 2, 6]]",3507304646.7787113,3507.3046467787112,300.0,optimal,0.0017380714416503906
16,"[[0, 3, 2]]",3507042992.717087,3507.0429927170867,300.0,optimal,0.0015821456909179688
17,"[[0, 3, 3]]",3507086808.123249,3507.086808123249,300.0,optimal,0.0015649795532226562
18,"[[0, 3, 4]]",3507159954.9019613,3507.159954901961,300.0,optimal,0.0016489028930664062
19,"[[0, 3, 5]]",3507249539.2156863,3507.249539215686,300.0,optimal,0.001725912094116211
20,"[[0, 3, 6]]",3507309539.2156863,3507.3095392156865,300.0,optimal,0.00177001953125
21,"[[0, 4, 2]]",3507045677.3109245,3507.0456773109245,300.0,optimal,0.0015711784362792969
22,"[[0, 4, 3]]",3507109693.277311,3507.1096932773107,300.0,optimal,0.0015969276428222656
23,"[[0, 4, 4]]",3507191777.5910363,3507.1917775910365,300.0,optimal,0.0017452239990234375
24,"[[0, 4, 5]]",3507251777.5910363,3507.2517775910364,300.0,optimal,0.0017180442810058594
25,"[[0, 4, 6]]",3507317454.901961,3507.317454901961,300.0,optimal,0.0017468929290771484
26,"[[0, 5, 2]]",3507057354.621849,3507.057354621849,300.0,optimal,0.0015959739685058594
27,"[[0, 5, 3]]",3507135985.4341736,3507.1359854341736,300.0,optimal,0.0016412734985351562
28,"[[0, 5, 4]]",3507195985.4341736,3507.1959854341735,300.0,optimal,0.0017719268798828125
29,"[[0, 5, 5]]",3507261662.745098,3507.261662745098,300.0,optimal,0.001783132553100586
30,"[[0, 5, 6]]",3507354354.621849,3507.354354621849,300.0,optimal,0.0018203258514404297
31,"[[0, 6, 2]]",3507075777.5910363,3507.0757775910365,300.0,optimal,0.001589059829711914
32,"[[0, 6, 3]]",3507134877.8711486,3507.1348778711485,300.0,optimal,0.0016298294067382812
33,"[[0, 6, 4]]",3507200555.1820726,3507.2005551820725,300.0,optimal,0.00165557861328125
34,"[[0, 6, 5]]",3507290324.089636,3507.2903240896358,300.0,optimal,0.0017468929290771484
35,"[[0, 6, 6]]",3507350324.089636,3507.3503240896357,300.0,optimal,0.0016922950744628906
36,"[[0, 7, 2]]",3507074800.840336,3507.0748008403357,300.0,optimal,0.0015869140625
37,"[[0, 7, 3]]",3507140055.1820726,3507.1400551820725,300.0,optimal,0.0016241073608398438
38,"[[0, 7, 4]]",3507226747.0588236,3507.2267470588235,300.0,optimal,0.0017178058624267578
39,"[[0, 7, 5]]",3507286747.058823,3507.286747058823,300.0,optimal,0.0017309188842773438
