label,sample_size,distinct_matrices_in_sample,contains_1295,contains_1220,in_sample_total_cost,in_sample_worst_recourse,complete_library_total_cost,complete_library_worst_recourse,gap_vs_in_sample,gap_vs_exact_optimum,in_sample_rel_dev_from_exact_pct,C_depot_0,C_depot_1,q_mode_0,q_mode_1,q_mode_2,investment_cost,worst_scenario_id,worst_events_json,worst_unmet_tons,master_assembly_plus_lp_time_s,maximal_set_eval_time_s,wall_time_s
even_index,1000,999,False,False,3578972950.9803925,3509952648.459384,8278684856.582633,8209664554.061625,4699711905.602241,4697591383.547194,-0.059214373235813425,600.0,600.0,418.45938375345594,300.0,130.0,69020302.5210083,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,14.694405317306519,2.7835047245025635,17.686870098114014
random_seed_0,1000,998,False,False,3578468258.331639,3509764161.5947514,8278365183.342832,8209661086.605944,4699896925.011192,4697271710.307392,-0.07330762862146106,600.0,600.0,455.2232342722976,187.6558262873135,130.0,68704096.73688784,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,13.267842054367065,2.769212007522583,16.244767904281616
random_seed_1,1000,999,False,False,3578994533.3333335,3509915385.79235,8278741249.726776,8209662102.185793,4699746716.393442,4697647776.691338,-0.058611698295783374,600.0,600.0,442.9781420765027,300.0,130.0,69079147.5409836,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.897671222686768,3.315062999725342,14.421128988265991
random_seed_2,1000,999,True,False,3580932734.823002,3512057833.3333335,3582996388.9556303,3514121487.465962,2063654.1326284409,1902915.920191288,-0.004488523230333512,600.0,600.0,358.3333333333333,143.0281915745635,208.33333333333334,68874901.48966843,1220,"[[0, 0, 6], [0, 6, 6]]",300.0,10.44632887840271,3.3092100620269775,13.963608980178833
random_seed_3,1000,1000,False,False,3579838093.1747284,3511244163.6461487,6579221517.559275,6510627588.030695,2999383424.3845463,2998128044.5238357,-0.035055769143231115,600.0,600.0,325.16219263945396,187.094518401366,158.33333333333334,68593929.52857961,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,11.919543027877808,3.250783920288086,15.37915587425232
random_seed_4,1000,998,False,False,3579747608.7675047,3511169873.7061844,6579225303.687918,6510647568.626597,2999477694.920413,2998131830.6524787,-0.03758249479016052,600.0,600.0,317.29581629990435,187.8403061668261,158.33333333333334,68577735.06132035,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,12.685845136642456,3.070369005203247,15.963788032531738
random_seed_5,1000,998,False,False,3579833097.3709397,3511181707.1693487,6579262241.744929,6510610851.543338,2999429144.3739896,2998168768.7094903,-0.035195274124775966,600.0,600.0,331.7513608901205,198.66303762634553,158.33333333333334,68651390.20159113,1295,"[[0, 0, 6], [1, 0, 6]]",599.9999999999999,11.933655977249146,3.5117321014404297,15.653451919555664
random_seed_6,1000,999,False,False,3579034712.7659574,3509675000.0,8279018112.765958,8209658400.0,4699983400.0,4697924639.730518,-0.05748971047484538,600.0,600.0,500.0,339.92021276595744,130.0,69359712.76595744,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,10.6234769821167,3.1997199058532715,14.03258490562439
random_seed_7,1000,999,False,False,3578872857.264957,3510130805.982907,8278598229.059828,8209856177.777778,4699725371.79487,4697504756.024389,-0.06200943335332168,600.0,600.0,294.44444444444446,305.3846153843403,130.0,68742051.2820503,1295,"[[0, 0, 6], [1, 0, 6]]",770.0,12.031433820724487,3.536655902862549,15.778496980667114
random_seed_8,1000,998,False,False,3578532366.6666665,3509457700.0,10677838111.11111,10608763444.444445,7099305744.444445,7096744638.075672,-0.07151743980035345,600.0,600.0,261.1111111111111,499.9999999999999,90.0,69074666.66666667,1295,"[[0, 0, 6], [1, 0, 6]]",1010.0,13.144457817077637,3.5377461910247803,16.88949990272522
